Hotel_id,Price,Date
ChIJ-ZsI4cfoaC4R73zdjVxD37Q,Rp336.648,2025-05-01
ChIJ-ZsI4cfoaC4R73zdjVxD37Q,Rp312.612,2025-05-02
ChIJ-ZsI4cfoaC4R73zdjVxD37Q,Rp393.911,2025-05-03
ChIJ-ZsI4cfoaC4R73zdjVxD37Q,Rp312.645,2025-05-04
ChIJ-ZsI4cfoaC4R73zdjVxD37Q,Rp312.645,2025-05-05
ChIJ-ZsI4cfoaC4R73zdjVxD37Q,Rp312.645,2025-05-06
ChIJ-ZsI4cfoaC4R73zdjVxD37Q,Rp311.642,2025-05-07
ChIJ-ZsI4cfoaC4R73zdjVxD37Q,Rp316.350,2025-05-08
ChIJ-ZsI4cfoaC4R73zdjVxD37Q,Rp473.001,2025-05-09
ChIJ-ZsI4cfoaC4R73zdjVxD37Q,Rp873.331,2025-05-10
ChIJ-ZsI4cfoaC4R73zdjVxD37Q,Rp481.087,2025-05-11
ChIJ-ZsI4cfoaC4R73zdjVxD37Q,Rp481.087,2025-05-12
ChIJ-ZsI4cfoaC4R73zdjVxD37Q,Rp474.128,2025-05-13
ChIJ-ZsI4cfoaC4R73zdjVxD37Q,Rp312.186,2025-05-14
ChIJ-ZsI4cfoaC4R73zdjVxD37Q,Rp352.575,2025-05-15
ChIJ-ZsI4cfoaC4R73zdjVxD37Q,Rp433.562,2025-05-16
ChIJ-ZsI4cfoaC4R73zdjVxD37Q,Rp393.037,2025-05-17
ChIJ-ZsI4cfoaC4R73zdjVxD37Q,Rp311.908,2025-05-18
ChIJ-ZsI4cfoaC4R73zdjVxD37Q,Rp311.728,2025-05-19
ChIJ-ZsI4cfoaC4R73zdjVxD37Q,Rp358.264,2025-05-20
ChIJ-ZsI4cfoaC4R73zdjVxD37Q,Rp309.905,2025-05-21
ChIJ-ZsI4cfoaC4R73zdjVxD37Q,Rp311.728,2025-05-22
ChIJ-ZsI4cfoaC4R73zdjVxD37Q,Rp389.652,2025-05-23
ChIJ-ZsI4cfoaC4R73zdjVxD37Q,Rp390.214,2025-05-24
ChIJ-ZsI4cfoaC4R73zdjVxD37Q,Rp309.663,2025-05-25
ChIJ-ZsI4cfoaC4R73zdjVxD37Q,Rp309.889,2025-05-26
ChIJ-ZsI4cfoaC4R73zdjVxD37Q,Rp311.765,2025-05-27
ChIJ-ZsI4cfoaC4R73zdjVxD37Q,Rp311.765,2025-05-28
ChIJ-ZsI4cfoaC4R73zdjVxD37Q,Rp311.769,2025-05-29
ChIJ-ZsI4cfoaC4R73zdjVxD37Q,Rp392.157,2025-05-30
